Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,N/A,Question,Subtable,SubQuestion
1,18,23,90,68,34,GSEAS,School,Q28c
2,24,18,118,124,30,GSOIS,School,Q28c
0,3,1,8,8,3,Provost,School,Q28c
1,10,6,69,65,23,SIGS,School,Q28c
0,19,17,70,75,25,20-30,Age Group,Q28c
3,18,16,105,109,40,30-35,Age Group,Q28c
2,15,14,86,84,28,35-40,Age Group,Q28c
2,12,9,43,35,15,41+,Age Group,Q28c
0,4,4,34,25,7,Unknown,Age Group,Q28c
0,0,0,2,2,77,No Rating,Tech Rating,Q28c
0,0,1,1,3,2,Not Like Computers,Tech Rating,Q28c
0,8,10,47,47,5,Basic,Tech Rating,Q28c
3,37,34,165,151,20,Intermediate,Tech Rating,Q28c
4,17,12,98,94,8,Advanced,Tech Rating,Q28c
0,6,3,25,31,3,Expert,Tech Rating,Q28c
57,165,139,242,196,119,All Responses,,Q28d
9,21,27,46,41,25,GSBPP,School,Q28d
14,51,41,54,39,35,GSEAS,School,Q28d
25,59,44,85,71,32,GSOIS,School,Q28d
1,3,4,6,6,3,Provost,School,Q28d
8,31,23,51,38,23,SIGS,School,Q28d
16,44,31,48,42,25,20-30,Age Group,Q28d
21,49,35,77,68,41,30-35,Age Group,Q28d
8,37,44,64,47,29,35-40,Age Group,Q28d
8,25,13,31,23,16,41+,Age Group,Q28d
4,10,16,22,15,7,Unknown,Age Group,Q28d
0,0,0,2,1,78,No Rating,Tech Rating,Q28d
0,1,3,0,1,2,Not Like Computers,Tech Rating,Q28d
6,24,17,38,26,6,Basic,Tech Rating,Q28d
24,78,72,120,96,20,Intermediate,Tech Rating,Q28d
23,48,31,66,56,9,Advanced,Tech Rating,Q28d
4,14,16,16,15,3,Expert,Tech Rating,Q28d
47,143,121,269,215,123,All Responses,,Q28e
6,24,30,41,42,26,GSBPP,School,Q28e
15,39,40,61,41,38,GSEAS,School,Q28e
15,54,30,100,84,33,GSOIS,School,Q28e
1,2,4,7,6,3,Provost,School,Q28e
10,24,17,60,41,22,SIGS,School,Q28e
14,31,25,62,48,26,20-30,Age Group,Q28e
9,40,40,92,67,43,30-35,Age Group,Q28e
12,38,32,58,58,31,35-40,Age Group,Q28e
8,20,9,35,28,16,41+,Age Group,Q28e
4,14,15,22,13,6,Unknown,Age Group,Q28e
0,0,1,1,1,78,No Rating,Tech Rating,Q28e
0,1,1,1,2,2,Not Like Computers,Tech Rating,Q28e
6,20,19,36,31,5,Basic,Tech Rating,Q28e
23,66,65,137,96,23,Intermediate,Tech Rating,Q28e
16,38,30,71,67,11,Advanced,Tech Rating,Q28e
2,18,5,23,17,3,Expert,Tech Rating,Q28e
49,184,332,186,82,85,All Responses,,Q31a
10,43,64,27,11,14,GSBPP,School,Q31a
11,49,90,43,18,23,GSEAS,School,Q31a
14,52,111,79,34,26,GSOIS,School,Q31a
0,1,11,5,3,3,Provost,School,Q31a
14,39,56,31,16,18,SIGS,School,Q31a
13,42,67,41,22,21,20-30,Age Group,Q31a
19,48,111,60,27,26,30-35,Age Group,Q31a
7,50,85,50,17,20,35-40,Age Group,Q31a
7,30,44,16,8,11,41+,Age Group,Q31a
3,14,25,18,8,6,Unknown,Age Group,Q31a
0,1,0,1,0,79,No Rating,Tech Rating,Q31a
0,3,3,1,0,0,Not Like Computers,Tech Rating,Q31a
9,32,38,29,9,0,Basic,Tech Rating,Q31a
23,84,162,101,36,4,Intermediate,Tech Rating,Q31a
12,50,95,48,27,1,Advanced,Tech Rating,Q31a
5,14,34,5,10,0,Expert,Tech Rating,Q31a
85,225,149,273,99,87,All Responses,,Q31b
13,37,30,46,29,14,GSBPP,School,Q31b
10,57,35,78,31,23,GSEAS,School,Q31b
40,88,38,97,26,27,GSOIS,School,Q31b
5,6,2,5,2,3,Provost,School,Q31b
17,37,44,46,11,19,SIGS,School,Q31b
12,43,30,67,33,21,20-30,Age Group,Q31b
32,75,47,84,26,27,30-35,Age Group,Q31b
32,56,32,68,21,20,35-40,Age Group,Q31b
7,31,27,27,12,12,41+,Age Group,Q31b
2,20,13,26,7,6,Unknown,Age Group,Q31b
0,1,0,0,1,79,No Rating,Tech Rating,Q31b
0,2,2,1,2,0,Not Like Computers,Tech Rating,Q31b
8,27,27,43,11,1,Basic,Tech Rating,Q31b
42,113,83,128,39,5,Intermediate,Tech Rating,Q31b
25,65,29,77,36,1,Advanced,Tech Rating,Q31b
